Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
DP002536,400024839093,32406413,7002424321,K0305,5560,2952385550055,Hook,Inactive,A1-R,132,F B AREA,Inactive,0,0,8333,SAGUM GROUND DR. ALVI SB.,,,2019,SAGUM GROUND DR. ALVI SB.,0
DP001970,400005574224,30540573,7000544055,K0305,6460,2952385790784,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,6591,"P-17/2, SEC-5A/3, NK",,,3583,"P-37/3/4, SECTOR-5A/1",0
DP002118,400013965925,31355697,7001363964,K0305,6565,2952385790374,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,12754,"P-53/20, SEC-7B SURJANI",,,1350,"P-53/20, SEC-7B SURJANI",0
DP002055,400005629207,30547350,7000551117,K0305,6465,2952385740911,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,170451,"P-18, NAGAN PUMPING D/PMT-1",,,3428,"P-10A/2, SEC. 15A-3",0
DP001175,400002172184,30530315,7000220701,K0305,6465,2952385790463,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,,Null,,,Null,Null,0
DP002426,400024408254,32363487,7002381487,K0305,6460,2952385790188,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,521301,P-29/3/1 M/S. DMC (C) OPP A-HAMEED SCHOO,,,644,"P-13/3,  SEC, 5A-3, NKAR",0
DP002014,400005594217,30544027,7000547794,K0305,6165,2952385450115,Hook,Inactive,A1-R,127,LIAQATABAD,Inactive,0,0,508,ARSHI CHOWK,,,543,GULBERG SCHOOL D/PMT (LHS),0
DP002016,400005594233,30544029,7000547796,K0305,6165,2952385460579,Hook,Inactive,A1-R,136,NAZIMABAD,Inactive,0,0,,Null,,,Null,Null,0
DP002093,400005640898,30550150,7000554218,K0305,5565,2952385570137,Hook,Inactive,A1-R,132,F B AREA,Inactive,0,0,1371,AZIZABAD TEL NO. 1 BL-14 F.B.A S/S,,,195,OWAIS ISMAIL(P-43/4/1A),0
DP002538,400024847697,32407191,7002425157,K0305,6565,2952385320343,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,170345,"P-17, KHADIJA MARKET",,,672,"P-11/1, D/PMT (RHS)",0
DP000889,400002099967,30532807,7000201050,K0305,6565,2952385320246,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,11642,"P-4/1, BLOCK ""D"", N. NAZ.",,,655,P-60/6 MASJID-E-BATHA BL-I,0
